''Channels Input Data''

!| DT: (CEF) Channels Builder                                        |
|Channel      |Channel Number|Service Genre|Service Id|Service Format|
|Babestation  |906           |12           |1409      |sd            |
|BBC Two HD   |142           |12           |2075      |hd            |
|ITV          |103           |12           |6504      |sd            |
|Channel 5    |105           |12           |1801      |sd            |
|Channel 4    |104           |12           |1621      |sd            |
|Sky 1 HD     |106           |12           |4061      |hd            |
|Sky Living HD|107           |12           |4066      |4k            |
|Gay Network  |872           |12           |3606      |sd            |
|Heart        |0111          |20           |3830      |au            |
|Climax       |914           |20           |4192      |au            |
|BBC One      |101           |12           |2002      |sd            |
|Chl Line-up  |996           |10           |1850      |au            |

!| DT: (CEF) Channel Schedule Builder                                                                                                                                                                                                      |
|Service Id|Event Id |Title                           |Start Time              |Synopsis                                              |Duration|Subtitle|Audio Description|Age Rating|Audio Type|HD  |Widescreen|Recordable|Series Linkable|
|2002      |E7d2-f198|Celebrity MasterChef            |$ZTOMORROW_PLUS_DAY_2000|                                                      |1800    |true    |true             |PG        |DD        |true|true      |true      |true           |
|2002      |E7d2-f198|Mrs Brown's Boys                |$ZTOMORROW_2000         |                                                      |1800    |true    |true             |PG        |DD        |true|true      |true      |true           |
|2075      |E81b-edbd|Springwatch 2014                |$ZTODAY_2000            |                                                      |1800    |true    |true             |PG        |DD        |true|true      |true      |true           |
|2075      |E81b-edbe|Springwatch Unsprung            |$ZTODAY_2100            |                                                      |1800    |true    |true             |PG        |DD        |true|true      |true      |true           |
|2075      |E81b-f22c|QI                              |$ZTODAY_2130            |                                                      |1800    |true    |true             |PG        |DD        |true|true      |true      |true           |
|2075      |E81b-ece4|Mock the Week                   |$ZTODAY_2200            |                                                      |1800    |true    |true             |PG        |DD        |true|true      |true      |true           |
|1093      |E11q-e6xp|Back To The Future 2            |$ZTODAY_1300            |                                                      |14400   |        |                 |          |DS        |    |          |true      |true           |
|1093      |E11Z-e65p|Game Of Thrones                 |$NOW                    |                                                      |2400    |        |                 |          |DS        |    |          |true      |true           |
|1093      |E1A9-e22s|Top Gear Special                |$NOW_MINUS_10           |                                                      |2400    |        |                 |          |DS        |    |          |true      |true           |

!define RECORDABLE_EVENT_ID {E7d2-e3m2}
!define LINKABLE_EVENT_ID {A7d3-e5bd}
!define RECORDABLE_LINKABLE_EVENT_ID {E7d2-e3m3}
!define UNRECORDABLE_EVENT_ID {E7d3-e5bd}
